station,date,temp_c,wind_speed_kph,visibility_km,weather_code
KATL,2025-03-09 23:20:00,9.4,165.6,16.1,Clear
KATL,2025-03-09 23:52:00,9.4,129.6,16.1,Clear
KATL,2025-03-10 00:00:00,9.4,129.6,16.0,Clear
KATL,2025-03-10 00:40:00,9.4,93.6,16.1,Clear
KATL,2025-03-10 00:52:00,9.4,165.6,16.1,Clear
KATL,2025-03-10 01:52:00,9.4,129.6,16.1,Clear
KATL,2025-03-10 02:52:00,9.4,129.6,16.1,Clear
KATL,2025-03-10 03:00:00,9.4,129.6,16.0,Clear
KATL,2025-03-10 03:47:00,9.0,165.6,16.1,Clear
KATL,2025-03-10 03:52:00,9.4,165.6,16.1,Clear
KATL,2025-03-10 04:52:00,9.4,93.6,16.1,Clear
KATL,2025-03-10 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-10 05:17:00,8.9,165.6,16.1,Clear
KATL,2025-03-10 05:47:00,9.0,165.6,16.1,Clear
KATL,2025-03-10 05:52:00,9.4,205.2,16.1,Clear
KATL,2025-03-10 06:52:00,9.4,147.6,16.1,Clear
KATL,2025-03-10 07:52:00,9.4,75.6,16.1,Clear
KATL,2025-03-10 08:21:00,8.9,165.6,6.4,Clear
KATL,2025-03-10 08:52:00,8.9,147.6,12.9,Clear
KATL,2025-03-10 09:00:00,8.9,147.6,12.0,Clear
KATL,2025-03-10 09:24:00,8.3,183.6,12.9,Clear
KATL,2025-03-10 09:38:00,8.3,205.2,14.5,Clear
KATL,2025-03-10 09:52:00,8.3,241.2,14.5,Clear
KATL,2025-03-10 10:16:00,8.3,165.6,14.5,Clear
KATL,2025-03-10 10:52:00,7.8,205.2,14.5,Clear
KATL,2025-03-10 11:14:00,7.8,259.2,14.5,Clear
KATL,2025-03-10 11:52:00,7.8,147.6,12.9,Clear
KATL,2025-03-10 12:00:00,7.8,147.6,12.0,Clear
KATL,2025-03-10 12:04:00,7.8,129.6,16.1,Clear
KATL,2025-03-10 12:18:00,7.8,205.2,6.4,Clear
KATL,2025-03-10 12:52:00,7.2,205.2,4.8,Clear
KATL,2025-03-10 13:25:00,7.2,183.6,9.7,Clear
KATL,2025-03-10 13:52:00,7.2,147.6,6.4,Clear
KATL,2025-03-10 14:00:00,7.2,111.6,6.4,Clear
KATL,2025-03-10 14:29:00,7.2,129.6,9.7,Clear
KATL,2025-03-10 14:50:00,8.0,147.6,9.7,Clear
KATL,2025-03-10 14:52:00,7.8,147.6,9.7,Clear
KATL,2025-03-10 15:00:00,7.8,147.6,9.0,Clear
KATL,2025-03-10 15:52:00,7.8,147.6,9.7,Clear
KATL,2025-03-10 16:52:00,8.3,165.6,12.9,Clear
KATL,2025-03-10 17:39:00,8.9,223.2,14.5,Clear
KATL,2025-03-10 17:52:00,8.9,205.2,11.3,Clear
KATL,2025-03-10 18:00:00,8.9,205.2,11.0,Clear
KATL,2025-03-10 18:40:00,8.9,205.2,14.5,Clear
KATL,2025-03-10 18:50:00,9.0,165.6,16.1,Clear
KATL,2025-03-10 18:52:00,9.4,165.6,16.1,Clear
KATL,2025-03-10 19:52:00,11.1,183.6,16.1,Clear
KATL,2025-03-10 20:52:00,11.7,183.6,16.1,Clear
KATL,2025-03-10 21:00:00,11.7,183.6,16.0,Clear
KATL,2025-03-10 21:52:00,12.8,93.6,16.1,Clear
KATL,2025-03-10 22:52:00,12.2,54.0,16.1,Clear
KATL,2025-03-10 23:52:00,11.1,54.0,16.1,Clear
KATL,2025-03-11 00:00:00,11.1,54.0,16.0,Clear
KATL,2025-03-11 00:52:00,10.0,75.6,16.1,Clear
KATL,2025-03-11 01:52:00,8.3,93.6,16.1,Clear
KATL,2025-03-11 02:52:00,8.3,93.6,16.1,Clear
KATL,2025-03-11 03:00:00,8.3,93.6,16.0,Clear
KATL,2025-03-11 03:52:00,8.3,111.6,16.1,Clear
KATL,2025-03-11 04:52:00,7.8,111.6,16.1,Clear
KATL,2025-03-11 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-11 05:52:00,7.2,93.6,16.1,Clear
KATL,2025-03-11 06:00:00,7.2,93.6,16.0,Clear
KATL,2025-03-11 06:52:00,6.7,93.6,16.1,Clear
KATL,2025-03-11 07:52:00,6.7,93.6,16.1,Clear
KATL,2025-03-11 08:52:00,6.1,165.6,16.1,Clear
KATL,2025-03-11 09:00:00,6.1,165.6,16.0,Clear
KATL,2025-03-11 09:52:00,6.1,129.6,16.1,Clear
KATL,2025-03-11 10:52:00,6.1,147.6,16.1,Clear
KATL,2025-03-11 11:52:00,6.1,183.6,16.1,Clear
KATL,2025-03-11 12:00:00,6.1,183.6,16.0,Clear
KATL,2025-03-11 12:52:00,8.3,147.6,16.1,Clear
KATL,2025-03-11 13:52:00,12.2,111.6,16.1,Clear
KATL,2025-03-11 14:52:00,14.4,111.6,16.1,Clear
KATL,2025-03-11 15:00:00,14.4,111.6,16.0,Clear
KATL,2025-03-11 15:52:00,17.8,93.6,16.1,Clear
KATL,2025-03-11 16:52:00,19.4,111.6,16.1,Clear
KATL,2025-03-11 17:52:00,21.1,147.6,16.1,Clear
KATL,2025-03-11 18:00:00,21.1,147.6,16.0,Clear
KATL,2025-03-11 18:52:00,22.8,147.6,16.1,Clear
KATL,2025-03-11 19:52:00,23.9,147.6,16.1,Clear
KATL,2025-03-11 20:52:00,23.9,111.6,16.1,Clear
KATL,2025-03-11 21:00:00,23.9,111.6,16.0,Clear
KATL,2025-03-11 21:52:00,23.9,147.6,16.1,Clear
KATL,2025-03-11 22:52:00,22.8,129.6,16.1,Clear
KATL,2025-03-11 23:52:00,20.6,93.6,16.1,Clear
KATL,2025-03-12 00:00:00,20.6,93.6,16.0,Clear
KATL,2025-03-12 00:52:00,18.3,75.6,16.1,Clear
KATL,2025-03-12 01:52:00,16.7,54.0,16.1,Clear
KATL,2025-03-12 02:52:00,15.6,93.6,16.1,Clear
KATL,2025-03-12 03:00:00,15.6,93.6,16.0,Clear
KATL,2025-03-12 03:52:00,14.4,111.6,16.1,Clear
KATL,2025-03-12 04:52:00,14.4,93.6,16.1,Clear
KATL,2025-03-12 04:59:00,999.9,35996.4,1000.0,Clear
KATL,2025-03-12 05:52:00,14.4,111.6,16.1,Clear
